zip_code,county
22301,ALEXANDRIA
22302,ALEXANDRIA
22303,ALEXANDRIA
22304,ALEXANDRIA
22305,ALEXANDRIA
22306,ALEXANDRIA
22307,ALEXANDRIA
22308,ALEXANDRIA
22309,ALEXANDRIA
22310,ALEXANDRIA
22311,ALEXANDRIA
22312,ALEXANDRIA
22313,ALEXANDRIA
22314,ALEXANDRIA
22315,ALEXANDRIA
22320,ALEXANDRIA
22331,ALEXANDRIA
22332,ALEXANDRIA
22333,ALEXANDRIA
22334,ALEXANDRIA
22350,ALEXANDRIA
22003,FAIRFAX
22201,ARLINGTON
22202,ARLINGTON
22203,ARLINGTON
22204,ARLINGTON
22205,ARLINGTON
22206,ARLINGTON
22207,ARLINGTON
22209,ARLINGTON
22210,ARLINGTON
22212,ARLINGTON
22213,ARLINGTON
22214,ARLINGTON
22215,ARLINGTON
22216,ARLINGTON
22217,ARLINGTON
22219,ARLINGTON
22225,ARLINGTON
22226,ARLINGTON
22227,ARLINGTON
22230,ARLINGTON
22240,ARLINGTON
22241,ARLINGTON
22242,ARLINGTON
22243,ARLINGTON
22244,ARLINGTON
22245,ARLINGTON
22246,ARLINGTON
22009,FAIRFAX
22015,FAIRFAX
20120,FAIRFAX
20121,FAIRFAX
20122,FAIRFAX
20151,FAIRFAX
20153,FAIRFAX
20124,FAIRFAX
22027,FAIRFAX
22030,FAIRFAX
22031,FAIRFAX
22032,FAIRFAX
22033,FAIRFAX
22034,FAIRFAX
22035,FAIRFAX
22036,FAIRFAX
22037,FAIRFAX
22039,FAIRFAX
22041,FAIRFAX
22042,FAIRFAX
22043,FAIRFAX
22044,FAIRFAX
22046,FAIRFAX
22060,FAIRFAX
22211,FAIRFAX
22066,FAIRFAX
22067,FAIRFAX
20170,FAIRFAX
20171,FAIRFAX
20172,FAIRFAX
20192,FAIRFAX
22095,FAIRFAX
22079,FAIRFAX
22199,FAIRFAX
20101,LOUDOUN
20102,LOUDOUN
20103,LOUDOUN
20104,LOUDOUN
20105,LOUDOUN
20117,LOUDOUN
20118,LOUDOUN
20129,LOUDOUN
20131,LOUDOUN
20132,LOUDOUN
20134,LOUDOUN
20141,LOUDOUN
20142,LOUDOUN
20146,LOUDOUN
20147,LOUDOUN
20148,LOUDOUN
20149,LOUDOUN
20152,LOUDOUN
20158,LOUDOUN
20159,LOUDOUN
20160,LOUDOUN
20163,LOUDOUN
20164,LOUDOUN
20165,LOUDOUN
20166,LOUDOUN
20167,LOUDOUN
20175,LOUDOUN
20176,LOUDOUN
20177,LOUDOUN
20178,LOUDOUN
20180,LOUDOUN
20189,LOUDOUN
20197,LOUDOUN
20598,LOUDOUN
22101,FAIRFAX
22102,FAIRFAX
22106,FAIRFAX
22107,FAIRFAX
22108,FAIRFAX
22109,FAIRFAX
22081,FAIRFAX
22082,FAIRFAX
22116,FAIRFAX
22118,FAIRFAX
22119,FAIRFAX
22121,FAIRFAX
22122,FAIRFAX
22124,FAIRFAX
20109,PRINCE WILLIAM
20111,PRINCE WILLIAM
20112,PRINCE WILLIAM
20136,PRINCE WILLIAM
20143,PRINCE WILLIAM
20155,PRINCE WILLIAM
20156,PRINCE WILLIAM
20168,PRINCE WILLIAM
20169,PRINCE WILLIAM
20181,PRINCE WILLIAM
20182,PRINCE WILLIAM
22025,PRINCE WILLIAM
22026,PRINCE WILLIAM
22125,PRINCE WILLIAM
22134,PRINCE WILLIAM
22172,PRINCE WILLIAM
22191,PRINCE WILLIAM
22192,PRINCE WILLIAM
22193,PRINCE WILLIAM
22194,PRINCE WILLIAM
22195,PRINCE WILLIAM
20190,FAIRFAX
20191,FAIRFAX
20194,FAIRFAX
20195,FAIRFAX
20196,FAIRFAX
22096,FAIRFAX
22150,FAIRFAX
22151,FAIRFAX
22152,FAIRFAX
22153,FAIRFAX
22156,FAIRFAX
22158,FAIRFAX
22159,FAIRFAX
22160,FAIRFAX
22161,FAIRFAX
22180,FAIRFAX
22181,FAIRFAX
22182,FAIRFAX
22183,FAIRFAX
22185,FAIRFAX
22103,FAIRFAX
